BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,HMPG_ADRES,HOUSE_DETAIL_SECD,HOUSE_DETAIL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SEARCH_HOUSE_SECD,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
주식회사 서울도시재생공간지원위탁관리부동산투자회사,20250113,20250117,https://www.spacereits.co.kr/,03,공공지원민간임대,2024850027,양평동 동문 디 이스트,03,공공지원민간임대,서울특별시 영등포구 양평동1가 30번지 ,07262,03180686329,202505,2024850027,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850027&pblancNo=2024850027&houseSecd=03,20241230,20241217,0303,20241223,20241224,38
대방건설 주식회사,20241226,20241226,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850026,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03304,0319757988,202506,2024850026,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850026&pblancNo=2024850026&houseSecd=03,20241220,20241209,0303,20241216,20241217,1
(주)계룡하나제3호위탁관리부동산투자회사,20241220,20241224,http://www.엘리프옥정시그니처.com,03,공공지원민간임대,2024850025,엘리프 옥정 시그니처,03,공공지원민간임대,경기도 양주시 옥정동 1022(옥정택지개발지구 A-5BL),11466,0269114345,202503,2024850025,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850025&pblancNo=2024850025&houseSecd=03,20241210,20241129,0303,20241204,20241205,670
(주)엘티대한제8호위탁관리부동산투자회사,20250114,20250115,https://www.elyes.co.kr/main/main.do,03,공공지원민간임대,2024850024,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 동면 사송리 1218번지 (양산사송지구 B-8BL),50637,0553724999,202501,2024850024,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850024&pblancNo=2024850024&houseSecd=03,20250107,20241227,0303,20250102,20250102,120
대방건설 주식회사,20241125,20241125,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850023,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원 (은평뉴타운 3-14BL),03302,0319757988,202506,2024850023,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850023&pblancNo=2024850023&houseSecd=03,20241122,20241113,0303,20241118,20241119,3
(주)엘티대한제8호위탁관리부동산투자회사,20241106,20241107,https://www.elyes.co.kr/main/main.do,03,공공지원민간임대,2024850022,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 동면 사송리 1218번지 (양산 사송지구 B-8BL),50637,0553724999,202411,2024850022,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850022&pblancNo=2024850022&houseSecd=03,20241028,20241018,0303,20241023,20241023,272
창원뉴스테이 주식회사,20241010,20241011,http://www.ssgreencore2.com,03,공공지원민간임대,2024850021,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850021,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850021&pblancNo=2024850021&houseSecd=03,20241007,20240925,0303,20240930,20240930,90
대방건설 주식회사,20240912,20240912,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850020,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03302,0319757988,202506,2024850020,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850020&pblancNo=2024850020&houseSecd=03,20240910,20240830,0303,20240904,20240905,4
창원뉴스테이 주식회사,20240826,20240827,http://www.ssgreencore2.com,03,공공지원민간임대,2024850019,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850019,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850019&pblancNo=2024850019&houseSecd=03,20240822,20240814,0303,20240819,20240819,106
대방건설 주식회사,20240815,20240815,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850018,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(서울은평뉴타운 3-14BL),03301,0319757988,202506,2024850018,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850018&pblancNo=2024850018&houseSecd=03,20240813,20240801,0303,20240806,20240807,14
주식회사 서울도시재생공간지원위탁관리부동산투자회사,20240924,20240927,http://www.spacereits.co.kr,03,공공지원민간임대,2024850016,강동밀레니얼 중흥S-클래스,03,공공지원민간임대,서울특별시 강동구 천호동 423-200번지 일원,05329,03180686326,202410,2024850016,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850016&pblancNo=2024850016&houseSecd=03,20240906,20240827,0303,20240902,20240903,147
대방건설 주식회사,20240718,20240718,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850015,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4일원(은평뉴타운 3-14BL),03308,16883800,202506,2024850015,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850015&pblancNo=2024850015&houseSecd=03,20240716,20240704,0303,20240709,20240710,19
창원뉴스테이 주식회사,20240715,20240716,http://www.ssgreencore2.com,03,공공지원민간임대,2024850014,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850014,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850014&pblancNo=2024850014&houseSecd=03,20240711,20240703,0303,20240708,20240708,119
주식회사 고양성사혁신지구재생사업위탁관리부동산투자회사,20240802,20240804,https://www.cicseongsa.com,03,공공지원민간임대,2024850013,CIC(창조혁신캠퍼스)성사,03,공공지원민간임대,"경기도 고양시 덕양구 성사동, 394번지, 692-67번지",10464,0318157500,202412,2024850013,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850013&pblancNo=2024850013&houseSecd=03,20240723,20240711,0303,20240716,20240718,118
대방건설 주식회사,20240618,20240618,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850012,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,16883800,202506,2024850012,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850012&pblancNo=2024850012&houseSecd=03,20240614,20240603,0303,20240610,20240611,68
(주)엘티대한제8호위탁관리부동산투자회사,20240610,20240611,https://www.elyes.co.kr/main/stayView.do?pid=15,03,공공지원민간임대,2024850011,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 동면 사송리 1218번지 (양산사송지구 B-8BL),50637,0553724999,202406,2024850011,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850011&pblancNo=2024850011&houseSecd=03,20240603,20240524,0303,20240529,20240529,85
(주)유승종합건설,20240528,20240528,http://www.영종유승한내들스카이2차.com,03,공공지원민간임대,2024850010,영종 유승한내들 스카이2차,03,공공지원민간임대,인천광역시 중구 운서동 3085-1,22374,0325248822,202508,2024850010,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850010&pblancNo=2024850010&houseSecd=03,20240523,20240510,0303,20240516,20240517,34
대방건설 주식회사,20240516,20240516,http://www.detre-ep.co.kr,03,공공지원민간임대,2024850009,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,0319757988,202506,2024850009,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850009&pblancNo=2024850009&houseSecd=03,20240513,20240429,0303,20240507,20240508,89
창원뉴스테이 주식회사,20240508,20240509,http://www.ssgreencore2.com,03,공공지원민간임대,2024850008,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850008,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850008&pblancNo=2024850008&houseSecd=03,20240503,20240424,0303,20240429,20240429,127
대방건설 주식회사,20240411,20240411,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850007,서울은평뉴타운 디에트르 더퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원 (은평뉴타운 3-14BL),03308,0319757988,202506,2024850007,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850007&pblancNo=2024850007&houseSecd=03,20240405,20240326,0303,20240401,20240402,39
(주)엘티대한제8호위탁관리부동산투자회사,20240417,20240420,https://www.elyes.co.kr/main/stayView.do?pid=15,03,공공지원민간임대,2024850006,양산 사송지구 B-8BL 사송 롯데캐슬,03,공공지원민간임대,경상남도 양산시 사송지구 B-8BL,50659,0553724999,202406,2024850006,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850006&pblancNo=2024850006&houseSecd=03,20240409,20240327,0303,20240402,20240403,655
(주)유승종합건설,20240406,20240408,http://www.영종유승한내들스카이2차.com,03,공공지원민간임대,2024850005,영종 유승한내들 스카이2차,03,공공지원민간임대,인천광역시 중구 운서동 3085-1,22374,0325248822,202508,2024850005,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850005&pblancNo=2024850005&houseSecd=03,20240401,20240320,0303,20240326,20240327,243
창원뉴스테이 주식회사,20240318,20240319,http://ssgreencore2.com,03,공공지원민간임대,2024850004,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51551,15668728,202502,2024850004,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850004&pblancNo=2024850004&houseSecd=03,20240314,20240306,0303,20240311,20240311,143
(주)중흥카이트제십구호위탁관리부동산투자회사,20240331,20240402,http://dd-sclass.com,03,공공지원민간임대,2024850003,당진 대덕수청 중흥S-클래스 포레힐,03,공공지원민간임대,충청남도 당진시 대덕동 1877번지,31787,,202404,2024850003,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850003&pblancNo=2024850003&houseSecd=03,20240325,20240313,0303,20240318,20240319,324
대방건설 주식회사,20240307,20240307,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850002,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03301,0319757988,202506,2024850002,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850002&pblancNo=2024850002&houseSecd=03,20240304,20240220,0303,20240226,20240227,47
창원뉴스테이 주식회사,20240205,20240206,http://ssgreencore2.com,03,공공지원민간임대,2024850001,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51551,15668728,202502,2024850001,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850001&pblancNo=2024850001&houseSecd=03,20240201,20240124,0303,20240129,20240129,163
대방건설 주식회사,20240104,20240104,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850033,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원 (은평뉴타운 3-14BL),03008,16883800,202506,2023850033,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850033&pblancNo=2023850033&houseSecd=03,20240102,20231221,0303,20231226,20231227,97
(주)화성동탄피에프브이,20240110,20240112,https://hillstate.co.kr/SALE/999/main/index,03,공공지원민간임대,2023850032,힐스테이트 동탄포레,03,공공지원민간임대,경기도 화성시 신동 561-1번지 일원,18495,0313775856,202405,2023850032,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850032&pblancNo=2023850032&houseSecd=03,20240102,20231215,0303,20231227,20231227,585
창원뉴스테이 주식회사,20231226,20231227,http://www.ssgreencore2.com,03,공공지원민간임대,2023850031,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51551,15668728,202502,2023850031,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850031&pblancNo=2023850031&houseSecd=03,20231221,20231213,0303,20231218,20231218,172
㈜케이이비하나스테이제1호 위탁관리부동산투자회사,20231227,20231230,http://www.하나스테이포정.com,03,공공지원민간임대,2023850030,하나스테이 포정,03,공공지원민간임대,대구광역시 중구 중앙대로 435,41918,0532540316,202312,2023850030,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850030&pblancNo=2023850030&houseSecd=03,20231221,20231211,0303,20231218,20231218,287
(주)한신대한제1호위탁관리부동산투자회사,20231216,20231216,http://up-thehue.com,03,공공지원민간임대,2023850028,검단 한신더휴 어반파크,03,공공지원민간임대,"인천광역시 서구 매밭로 130 (당하동, 한신더휴 어반파크)",22870,0325695525,202403,2023850028,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850028&pblancNo=2023850028&houseSecd=03,20231207,20231127,0303,20231204,20231204,20
대방건설 주식회사,20231123,20231123,http://www.detre-ep.co.kr/,03,공공지원민간임대,2023850027,서울은평뉴타운 디에트르 더퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,0319757988,202506,2023850027,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850027&pblancNo=2023850027&houseSecd=03,20231121,20231110,0303,20231115,20231116,60
창원뉴스테이 주식회사,20231120,20231121,http://www.ssgreencore2.com,03,공공지원민간임대,2023850026,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원(창원안민 공공지원 민간임대주택 공급촉진지구),51547,15668728,202502,2023850026,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850026&pblancNo=2023850026&houseSecd=03,20231116,20231108,0303,20231113,20231113,190
대방건설 주식회사,20231019,20231020,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850025,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4일원(은평뉴타운 3-14BL),03308,0319757988,202506,2023850025,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850025&pblancNo=2023850025&houseSecd=03,20231017,20231006,0303,20231011,20231012,64
대한토지신탁(주),20231110,20231113,http://www.엘리프이천하이시티.com,03,공공지원민간임대,2023850023,엘리프 이천 하이시티,03,공공지원민간임대,경기도 이천시 부발읍 아미리 696-7,17332,025284477,202402,2023850023,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850023&pblancNo=2023850023&houseSecd=03,20231031,20231020,0303,20231025,20231026,406
(주)한신대한제1호위탁관리부동산투자회사,20231024,20231027,http://www.up-thehue.com/,03,공공지원민간임대,2023850022,검단 한신더휴 어반파크,03,공공지원민간임대,"인천광역시 서구 매밭로 130 (당하동, 한신더휴 어반파크)",22870,025280451,202403,2023850022,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850022&pblancNo=2023850022&houseSecd=03,20231016,20230922,0303,20231011,20231011,268
창원뉴스테이 주식회사,20230925,20230926,http://www.ssgreencore2.com,03,공공지원민간임대,2023850021,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지[창원안민 공공지원 민간임대주택 공급촉진지구],51550,15668728,202502,2023850021,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850021&pblancNo=2023850021&houseSecd=03,20230921,20230913,0303,20230918,20230918,207
(주)이베데스다제사호위탁관리부동산투자회사,20230913,20230915,,03,공공지원민간임대,2023850020,이랜드 PEER 대명 2단지,03,공공지원민간임대,대구광역시 남구 대명동 1824-1,42409,18991872,202309,2023850020,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850020&pblancNo=2023850020&houseSecd=03,20230905,20230824,0303,20230829,20230831,270
(주)이베데스다제사호위탁관리부동산투자회사,20230913,20230915,,03,공공지원민간임대,2023850019,이랜드 PEER 대명 1단지,03,공공지원민간임대,대구광역시 남구 대명동 1875-1,42409,18991872,202309,2023850019,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850019&pblancNo=2023850019&houseSecd=03,20230905,20230824,0303,20230829,20230831,178
창원뉴스테이 주식회사,20230828,20230829,http://www.ssgreencore2.com,03,공공지원민간임대,2023850018,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원(창원안민 공공지원 민간임대주택 공급촉진지구),51547,15668728,202502,2023850018,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850018&pblancNo=2023850018&houseSecd=03,20230824,20230816,0303,20230821,20230821,216
대방건설 주식회사,20230824,20230825,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850017,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,0319757988,202506,2023850017,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850017&pblancNo=2023850017&houseSecd=03,20230823,20230811,0303,20230816,20230817,72
(주)이베데스다대한제3호위탁관리부동산투자회사,20230830,20230901,http://이랜드피어둔산.kr,03,공공지원민간임대,2023850016,이랜드 PEER 둔산,03,공공지원민간임대,대전광역시 서구 둔산동 928,35209,16600807,202310,2023850016,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850016&pblancNo=2023850016&houseSecd=03,20230823,20230810,0303,20230816,20230818,386
대방건설(주),20230727,20230727,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850015,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,0319757988,202506,2023850015,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850015&pblancNo=2023850015&houseSecd=03,20230725,20230714,0303,20230719,20230720,54
창원뉴스테이 주식회사,20230724,20230725,http://www.ssgreencore2.com,03,공공지원민간임대,2023850014,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원(창원안민 공공지원 민간임대주택 공급촉진지구),51547,15668728,202502,2023850014,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850014&pblancNo=2023850014&houseSecd=03,20230720,20230712,0303,20230717,20230717,232
대방건설(주),20230629,20230629,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850013,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원 (은평뉴타운 3-14BL),03308,0319757988,202506,2023850013,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850013&pblancNo=2023850013&houseSecd=03,20230627,20230616,0303,20230621,20230622,60
창원뉴스테이 주식회사,20230626,20230627,http://www.ssgreencore2.com,03,공공지원민간임대,2023850012,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원(창원안민 공공지원 민간임대주택 공급촉진지구),51551,15668728,202502,2023850012,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850012&pblancNo=2023850012&houseSecd=03,20230622,20230614,0303,20230619,20230619,245
㈜케이이비하나스테이제1호 위탁관리부동산투자회사,20230704,20230706,http://www.하나스테이양정.com,03,공공지원민간임대,2023850011,하나스테이 양정,03,공공지원민간임대,부산광역시 부산진구 양정동 351-5번지,47222,0517541117,202307,2023850011,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850011&pblancNo=2023850011&houseSecd=03,20230630,20230622,0303,20230627,20230627,205
대방건설(주),20230601,20230601,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850010,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,16883800,202506,2023850010,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850010&pblancNo=2023850010&houseSecd=03,20230526,20230516,0303,20230522,20230523,64
창원뉴스테이 주식회사,20230525,20230526,http://www.ssgreencore2.com,03,공공지원민간임대,2023850009,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원 (창원안민 공공지원민간임대주택 공급촉진지구),51550,15668728,202502,2023850009,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850009&pblancNo=2023850009&houseSecd=03,20230522,20230512,0303,20230517,20230517,258
창원뉴스테이 주식회사,20230424,20230425,http://www.ssgreencore2.com,03,공공지원민간임대,2023850008,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원(창원안민 공공지원민간임대주택 공급촉진지구),51550,15668728,202502,2023850008,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850008&pblancNo=2023850008&houseSecd=03,20230420,20230412,0303,20230417,20230417,279
