kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_member,etc_note,dcls_strt_day,dcls_end_day
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",20241220,
한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",20241220,99991231
아이엠뱅크,iM주거래우대예금(첫만남고객형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.65%p
 - 목돈굴리기예금 최초 가입시 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 인터넷.폰.모바일앱뱅킹 가입 : 연0.20%p
 * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",실명의 개인,계좌당 가입 최저한도 : 100만원,20241220,
아이엠뱅크,iM행복파트너예금(일반형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p
- 지난달 당행 통장으로 연금 입금 실적 보유 : 연0.10%p
- 상품 가입 전 당행 신용(체크)카드 보유 : 연0.10%p
- 지난 3개월 예금 평잔 30만원 이상 : 연0.10%p
- iM행복파트너적금 동시 가입 및 만기 보유 : 연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",만50세 이상 실명의 개인,계좌당 가입 최저한도 : 100만원,20241220,
아이엠뱅크,iM함께예금,"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p - 전월 총 수신 평잔실적 또는 상품 가입 전 첫만남플러스 통장 보유시 - 당행 주택청약상품보유 - 신규일 ""iM함께적금"" 동시 가입 및 만기 보유 -당행 오픈뱅킹서비스에 다른 은행 계좌 등록시 각  연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 시 : 연0.05%p",실명의 개인 및 개인사업자,계좌당 가입 최저한도 : 100만원,20241220,
아이엠뱅크,iM스마트예금,"인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25%
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",실명의 개인,계좌당 가입 최저한도 : 100만원,20241220,
부산은행,LIVE정기예금,"영업점,인터넷","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율
가. 3~5개월 특판우대이율 : 0.50%
나. 6~11개월 특판 우대이율: 0.40%
다. 12개월 특판 우대이율 : 0.30%",제한없음,"1. 가입금액 :
   1천만원 이상
2. 가입기간 :
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식",20241220,
부산은행,더(The) 특판 정기예금,"인터넷,스마트폰","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p",실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식",20241220,
부산은행,더(The) 레벨업 정기예금,스마트폰,"- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율(최대 0.20%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 비대면 정기예금 재예치 우대이율  : 0.10%",실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 6개월, 1년
3. 이자지급방식 : 만기일시지급식",20241220,
광주은행,미즈월복리정기예금,"영업점,인터넷,스마트폰,기타","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%","▶ 최고우대금리 0.2%
 ① 요구불평잔 : 0.2% -300만원이상 0.1%, 500만원이상 0.2%
 ② 신용(체크)카드결제실적 : 0.1% -전월결제금 300만원이상 0.05%, 500만원이상 0.1%",만18세이상 여성으로 실명의 개인 및 개인사업자,"1. 가입기간 : 1년이상 3년제
2. 가입금액 : 5백만원이상 최고 50백만원",20241220,
광주은행,스마트모아Dream정기예금,"인터넷,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%",▶ 1천만원 이상 가입시 최대 0.2%우대,개인 및 개인사업자,"1. 가입기간 : 1개월이상 3년제
2. 최소가입금액 : 100만원이상",20241220,
광주은행,굿스타트예금,스마트폰,"*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%","▶ 최고우대금리 0.5%
 ① 첫예금거래 : 0.4% -최근1년동안 정기예금 계좌 신규 또는 해지이력이 없는경우
 ② 개인(신용)정보 수집이용동의 : 0.1% -만기일전일까지 유지시",개인 및 개인사업자,"1. 가입기간 : 1년제
2. 가입금액 : 1백만원이상 최고 1억원(1인1계좌)",20241220,
광주은행,The플러스예금,"영업점,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2
*만기후 1개월 초과: 0.01%",▶ 해당사항없음,"개인 및 법인(단,국가 지자체 및 금융기관 제외)","1. 가입기간 : 3개월,6개월,1년제
2. 가입금액 : 10백만원이상 고객당 10억원한도",20241220,
제주은행,"제주Dream
정기예금
(개인/만기
지급식)","영업점,인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","최고 연 0.1%p(항목별 0.1%p)
①급여이체
②적립식예금 잔액 10만원 이상 보유
③탑스, 주거래 고객
④결제계좌(가맹점) 전월 입금액 10만원 이상
⑤비과세종합저축 대상 고객
⑥다자녀(3인이상 자녀)가정
⑦탐나는 J연금통장 가입고객
⑧국민연금안심통장 가입고객
⑨공무원연금안심통장 가입고객",제한없음,가입금액 : 1백만원 이상,20241220,
제주은행,"J정기예금
(만기지급식)","영업점,인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","- 아래의 우대요건 충족시 최고 0.5%p 추가 우대
①비대면 채널 가입시 0.3%제공(신규시제공)
(단, 이벤트시 디지털 채널에 고시한 우대금리를 추가 적용할 수 있음)
②신규일로부터 만기달 제외한 계약기간의 1/2이상 매월 Jbank로그인 시 0.2%제공(만기시제공)","실명의
개인 및
개인사업자",가입금액 : 30만원 이상,20241220,
전북은행,"JB 다이렉트예금통장
(만기일시지급식)","인터넷,스마트폰","만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%","우대조건
없음",실명의 개인(임의단체 제외,"가입금액 1계좌당 1백만원이상 10억원이하,
1인당  총 10억원 이하,
인터넷/스마트폰뱅킹 가입상품",20241220,
전북은행,"JB 123 정기예금
 (만기일시지급식)","인터넷,스마트폰","만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%","자동재예치 우대이율
1회차 0.1%,
2회차 0.2%,
3회차 0.3%
12개월:첫거래고객
0.25%, 마케팅동의고객 0.05%(~12/31일까지)단,가입후
최초 1년동안에 한하여 제공",실명의 개인 또는 개인사업자 (1인 다계좌 가입 가능함),"예금의 신규 : 인터넷뱅킹, 모바일뱅킹, 모바일웹, BDT
예금의 해지 : 인터넷뱅킹, 모바일뱅킹, 영업점
가입금액 최저 1백만원이상 고객별 5억원 이상 (다만 자동재예치시 이자 원가로 인한 5억원 초과는 가능), 계좌수 관계없이 가입가능",20241220,
경남은행,BNK더조은정기예금,"인터넷,스마트폰","만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20%","①가입금액 20백만원 이상인 경우 0.20%
②이 예금 신규시 금리우대쿠폰 등록할 경우 0.20%
③ 경남은행 오픈뱅킹 서비스에 가입되어 있는 경우
(만기시까지 해당서비스 유지하는 경우) 0.10%
④ 자동재예치 신청 0.05%
(단 금리우대쿠폰과 중복적용 불가)","거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.","1. 이 예금의 계약기간은 3개월 이상 2년 이내 월단위로 한다.
2. 가입금액은 1인당 최소 100만원 이상 5억원 이하이다.",20241220,
경남은행,BNK주거래우대정기예금,"인터넷,스마트폰","만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20%","①급여,연금,가맹점대금 중 한 종류 입금할 경우 0.10%
②당행 신용/체크카드 결제실적 보유할 경우 0.10%
③가입일 기준 6개월이내 당행 정기예금 미보유 신규 고객인 경우 0.10%",개인 및 개인사업자,"1. 이 예금의 계약기간은 6개월, 1년, 2년으로 한다.
2. 가입좌수 제한없으며 가입금액은 최소 1백만원 이상 최고 5억원 이하이다.",20241220,
중소기업은행,IBK평생한가족통장(실세금리정기예금),"영업점,인터넷,스마트폰",만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20%,"최고 연 0.20%p

-고객별 우대 : 최고 연 0.05%p
 1. 최초신규고객 : 연 0.05%p
 2. 재예치고객 : 연 0.05%p
 3. 장기거래고객 : 연 0.05%p

-주거래우대 : 연 0.15%p","실명의 개인
(개인사업자 제외)","계좌 수 제한 없으며, 최소 1백만원 이상 통합한도 1억원 이내 가입 가능",20241220,
중소기업은행,1석7조통장(실세금리정기예금),"인터넷,스마트폰",만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20%,없음,"실명의 개인
(개인사업자 제외)","계좌 수 제한 없으며, 최소 1백만원 이상 납입한도 제한 없음",20241223,
한국산업은행,KDB 정기예금,"영업점,인터넷,스마트폰","* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기예금 해당기간 기본이율의 1/2
* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이자율",해당없음,제한없음,해당없음,20241220,
국민은행,KB Star 정기예금,"인터넷,스마트폰","- 1개월 이내 : 기본이율 X 50%
- 1개월 초과  ~ 3개월 이내 : 기본이율 X 30%
- 3개월 초과 : 0.1%",해당무,실명의 개인 또는 개인사업자,- 가입금액 : 1백만원 이상,20241220,
신한은행,쏠편한 정기예금,"인터넷,스마트폰","-1개월 이하: (일반) 정기예금 기본금리 1/2
(단, 최저금리 0.10%)
-1개월 초과~6개월 이하: (일반) 정기예금 기본금리의 1/4
(단, 최저금리 0.10%)
-6개월 초과:  0.10%",해당사항없음,만14세이상 개인고객,"1. 가입한도 :
 1만원 이상",20241223,
농협은행주식회사,NH왈츠회전예금 II,"영업점,인터넷,스마트폰","만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후 6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 일반정기예금 계약기간별 금리","1. 급여이체실적(50만원 이상)이 있는 경우 : 0.1%p
2. 트리플 회전 우대이율 :  4회전기간부터 0.1%p",개인,"※ 기본금리 및 최고 우대금리 항목은 가입기간이 아닌 ‘회전주기’기간별 금리를 공시
 - 회전주기는 1개월 이상 12개월 이내 월단위로 선택 가능
※ 전월취급평균금리는 본 홈페이지에 공시되지 않는 회전기간 6개월 미만의 계좌들도 포함하여 산출하기 때문에 회전기간별로 공시된 기본금리보다 낮게 보여질 수 있음",20241223,
농협은행주식회사,NH내가Green초록세상예금,"영업점,인터넷,스마트폰","만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후  6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 일반정기예금 계약기간별 금리","※ 우대금리 최대한도 : 0.4%p(연%, 세전)
1. 온실가스 줄이기 실천서약서 동의 : 0.1%p
2. 통장미발급 : 0.1%p
3. 손하나로인증 서비스 등록 : 0.1%p
4. NH내가Green초록세상적금 동시 보유 : 0.1%p",개인,"1. 300만원이상 가입
2. 온실가스 줄이기 실천서약서 동의시 가입가능
3. 신규가입 계좌당 2천원씩 녹색환경기금 적립
※ 자세한 사항은 상품설명서 참조",20241223,
농협은행주식회사,NH올원e예금,"인터넷,스마트폰","만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후  6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 큰만족실세예금 계약기간별 금리",없음,개인,1. 10만원 이상 10억원 이내 가입,20241223,
농협은행주식회사,NH고향사랑기부예금,"영업점,인터넷,스마트폰","만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후  6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 큰만족실세예금 계약기간별 금리","1. 고향사랑기부금 납부고객 우대 : 0.5%p

2-1. 만65세 이상 고령자 우대 : 0.1%p
2-2. 만 19~34세 MZ고객 우대 : 0.1%p

3. 고향사랑 특별금리 : 0.1%p (금리시장상황에 따라 변동 가능)
 - 고향사랑 특별금리는 상품 가입고객 모두에게 적용",개인,"1. 100만원 이상 가입
2. 고향사랑기부금 우대금리는 농협은행/농축협 영업점 또는 고향사랑e음 홈페이지를 통한 고향사랑기부금 납부실적이 확인되는 경우 제공
3. 연간 판매액의 0.1% 공익기금 적립

※ 우대조건 관련 자세한 사항은 상품설명서 참조",20241223,
하나은행,하나의정기예금,스마트폰,"1개월이내 : 지급당시 해당기간 일반정기예금 월이자지급식 기본금리 1/2
1개월초과 : 지급당시 해당기간 일반정기예금 월이자지급식 기본금리 1/4",해당사항없음,실명의 개인 또는 개인사업자,"1. 가입금액: 1백만원이상
2. 1인 최대가입한도 : 제한 없음",20241220,
주식회사 케이뱅크,코드K 정기예금,스마트폰,"만기 후
- 1개월 이내 : 만기시점 기본금리 X 50%
- 1개월 초과~6개월 이내 : 만기시점 기본금리 X 30%
- 6개월 초과 : 연 0.20%",우대조건 없음,만 17세 이상 실명의 개인 및 개인사업자,"가입금액 : 1백만원 이상
가입기간 : 1개월~36개월",20241220,
수협은행,"Sh평생주거래우대예금
(만기일시지급식)",영업점,"* 만기후 1년 이내
 - 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
* 만기후 1년 초과
 - 만기당시 보통예금 기본금리","* 최대우대금리 : 0.4%
1. 거래고객우대금리 : 최대0.1% (신규시)
 -최초예적금고객/재예치/장기거래 각 0.05%
2. 거래실적우대금리 : 최대0.3% (만기시)
 -급여,연금이체등/수협카드결제/공과금이체등 각0.1%
※단위:연%p",실명의 개인,"- 1인 1계좌
- 최저 100만원 이상",20241220,99991231
수협은행,"Sh해양플라스틱Zero!예금
(만기일시지급식)","영업점,인터넷,스마트폰","* 만기후
-1개월 이내: 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
-1개월초과~3개월 이내: 만기당시 일반정기예금(월이자지급식) 기본금리의 1/4
- 3개월 초과: 만기당시 보통예금 기본금리","* 최대우대금리:0.35%
1. 해양플라스틱감축서약 : 0.1% (신규시)
2. 봉사활동 또는 상품홍보 : 0.15% (만기시)
3. 입출금통장 최초신규 : 0.1% (만기시)
4. 자동이체 출금실적 : 0.1% (만기시)
 - 수협신용카드 / 당행 펀드 또는 적금 / 수협체크카드
※단위:연%p",실명의 개인,"- 1인 다계좌 가능.
  단,  합산금액 5억원 이내
- 최저 100만원 이상",20241220,99991231
수협은행,헤이(Hey)정기예금,"인터넷,스마트폰","* 만기후
-1개월 이내: 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
-1개월초과~3개월 이내: 만기당시 일반정기예금(월이자지급식) 기본금리의 1/4
- 3개월 초과: 만기당시 보통예금 기본금리",없음,실명의 개인,"-1인 다계좌 가능.
 단, 합산금액 최대 10억원 이내
-최저 10만원 이상",20241220,99991231
수협은행,Sh첫만남우대예금,"인터넷,스마트폰","* 만기후
-1개월 이내: 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
-1개월초과~3개월 이내: 만기당시 일반정기예금(월이자지급식) 기본금리의 1/4
- 3개월 초과: 만기당시 보통예금 기본금리","* 최대우대금리:1.05%
1. 첫거래우대 : 1.0% (신규시)
  - 최근 1년간 수협은행 예적금 활동계좌 미보유 고객포함
2. 마케팅전체동의 : 0.05%(신규시)
3. 스마트폰뱅킹의 상품알리기 : 0.80%(만기시)
※단위:연%p",실명의 개인,"-1인 1계좌
-최저 100만원 이상",20241220,99991231
주식회사 카카오뱅크,카카오뱅크 정기예금,스마트폰,"- 만기 후 1개월 이내 : 가입(또는 자동연장)시점 기본금리x50%
- 만기 후 1개월초과 3개월 이내 : 가입(또는 자동연장)시점 기본금리x30%
- 만기 후 3개월 초과 : 0.20%",※복잡한 우대조건 없이 가입가능한 정기예금,만 17세 이상의 실명의 개인,"1. 가입방법 : 스마트폰
2. 가입금액 : 100만원 이상(원단위)
3. 가입기간 : 1개월 이상 ~ 36개월 이하(월, 일단위 지정 가능)",20241220,
토스뱅크 주식회사,토스뱅크 먼저 이자 받는 정기예금,스마트폰,"· 만기 후 1개월 이내 : 만기시점 기본금리 X 50%
· 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%
· 만기 후 3개월 초과 : 연 0.10%",우대조건 없음,토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 만 17세 이상 실명의 개인,"· 계약기간 : 3개월, 6개월
· 가입금액 : 최소 1백만원 최대 10억원",20241220,99991231
애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,가입금액 1백만원이상,20241206,
애큐온저축은행,플러스회전식정기예금(변동금리),"영업점,스마트폰","만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율",없음,제한없음,"가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1%
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",20241206,
애큐온저축은행,애큐온모바일예금,스마트폰,"만기후 1개월 이내 해지시 : 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","모바일 가입 : 연 0.10%
(고시금리 포함)

멤버십 동의 : 연 0.050%
(고시금리 미포함)",제한없음,"가입금액 1백만원이상
1인1계좌
모바일전용가입상품",20241206,
애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",스마트폰,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율",없음,제한없음,"가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1%
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",20241206,
애큐온저축은행,3-UP정기예금,"영업점,인터넷,스마트폰","만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리
(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율
(2019.07.01 신규부터 적용)",없음,제한없음,"가입금액 1백만원이상
가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)
약정이율 : 3.45%(평균금리)
(1구간 2.00%, 2구간 3.00%, 3구간 4.20%, 4구간 4.60%)
중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공
(3개월미만은 보통예금금리 이자율 적용)",20241206,
애큐온저축은행,3-UP정기예금(모바일),스마트폰,"만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리
(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율
(2019.07.01 신규부터 적용)",없음,제한없음,"가입금액 1백만원이상
가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)
약정이율 : 3.45%(평균금리)
(1구간 2.00%, 2구간 3.00%, 3구간 4.20%, 4구간 4.60%)
중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공
(3개월미만은 보통예금금리 이자율 적용)",20241206,
애큐온저축은행,처음만난예금(모바일전용),스마트폰,"만기후 1개월 이내 해지시 : 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","최고우대금리 : 0.4%
- 당행 정기예금 첫거래 고객 우대 : 0.3%
(고시금리 포함)
- 개인(신용)정보 마케팅(SMS)동의 유지 : 0.1%
(고시금리 미포함)",당행 정기예금 가입 이력이 없는 개인,"가입금액 1십만원 이상 1천만원 이하
1인1상품
모바일전용가입상품",20241206,
애큐온저축은행,다시만난예금(모바일전용),스마트폰,"만기후 1개월 이내 해지시 : 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","최고우대금리 : 0.35%
- 다시 거래하는 고객 우대(6개월 이상 정기예금 미보유 : 0.25%
(고시금리 미포함)
- 다시 거래하는 고객 우대(12개월 이상 정기예금 미보유 : 0.35%
(고시금리 미포함)",제한없음,"가입금액 : 1십만원 이상 3천만원 이하
가입기간 : 7개월 ~24개월
1인1계좌
모바일전용가입상품",20241206,
오에스비저축은행,정기예금,영업점,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용",없음,제한없음,"-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",20241213,
